machine_id,line_id,factory_id,machine_type,brand,model,installation_date,machine_age_years,criticality,rated_capacity_units_per_hour,normal_temperature_c,warning_temperature_c,normal_rpm_min,normal_rpm_max,baseline_vibration_mm_s,base_failure_probability,machine_status
MCH0016,LIN009,FAC003,Packaging Line,Krones,KRO-934,2021-02-28,5.3,Critical,292,40,65,700,1300,2.0,0.0546,Active
MCH0017,LIN015,FAC005,Hydraulic Press,Schuler,SCH-555,2017-04-22,9.2,Medium,141,60,78,800,1400,3.2,0.0403,Standby
MCH0018,LIN026,FAC009,Assembly Robot,ABB,ABB-336,2012-02-14,14.4,High,82,45,70,1400,2100,2.2,0.0796,Active
MCH0019,LIN029,FAC010,Packaging Line,Krones,KRO-658,2024-06-25,2.0,Medium,481,40,65,700,1300,2.0,0.0205,Active
MCH0020,LIN001,FAC001,Industrial Furnace,Thermax,THE-803,2013-07-08,13.0,Medium,373,350,520,0,0,1.5,0.0508,Standby
MCH0021,LIN007,FAC003,CNC Lathe,DMG Mori,DMG-669,2023-12-04,2.6,High,464,68,80,1600,2200,2.7,0.0471,Standby
MCH0022,LIN024,FAC008,Injection Molding,Husky,HUS-374,2022-10-13,3.7,Medium,423,55,75,1200,1900,3.0,0.0252,Standby
MCH0023,LIN005,FAC002,CNC Lathe,DMG Mori,DMG-546,2015-12-01,10.6,Low,167,68,80,1600,2200,2.7,0.0442,Active
MCH0024,LIN022,FAC008,CNC Milling,Makino,MAK-289,2017-12-28,8.5,High,410,72,85,1800,2400,2.8,0.0634,Active
MCH0025,LIN017,FAC006,Industrial Furnace,Thermax,THE-165,2016-03-17,10.3,High,229,350,520,0,0,1.5,0.0683,Active
MCH0026,LIN006,FAC002,Assembly Robot,ABB,ABB-521,2015-09-30,10.7,Low,477,45,70,1400,2100,2.2,0.0444,Active
MCH0027,LIN014,FAC005,CNC Milling,Makino,MAK-123,2011-04-15,15.2,Low,238,72,85,1800,2400,2.8,0.0568,Active
MCH0028,LIN004,FAC002,Industrial Furnace,Thermax,THE-721,2017-01-24,9.4,High,400,350,520,0,0,1.5,0.0658,Standby
MCH0029,LIN002,FAC001,Grinding Machine,Bosch Rexroth,BOS-708,2017-02-02,9.4,High,316,65,82,1500,2300,3.4,0.0658,Under Maintenance
MCH0030,LIN022,FAC008,CNC Lathe,DMG Mori,DMG-797,2018-05-24,8.1,High,208,68,80,1600,2200,2.7,0.0623,Under Maintenance
MCH0031,LIN010,FAC004,Industrial Furnace,Thermax,THE-547,2011-04-18,15.2,High,92,350,520,0,0,1.5,0.0818,Active
MCH0032,LIN023,FAC008,Industrial Furnace,Thermax,THE-887,2016-06-30,10.0,High,489,350,520,0,0,1.5,0.0675,Active
MCH0033,LIN010,FAC004,Grinding Machine,Bosch Rexroth,BOS-120,2017-02-25,9.3,High,357,65,82,1500,2300,3.4,0.0656,Active
MCH0034,LIN007,FAC003,CNC Milling,Makino,MAK-225,2012-07-11,14.0,Medium,140,72,85,1800,2400,2.8,0.0535,Active
MCH0035,LIN005,FAC002,Industrial Furnace,Thermax,THE-771,2023-05-23,3.1,High,234,350,520,0,0,1.5,0.0485,Active
MCH0036,LIN014,FAC005,Hydraulic Press,Schuler,SCH-486,2017-12-26,8.5,Medium,202,60,78,800,1400,3.2,0.0384,Under Maintenance
MCH0037,LIN022,FAC008,Injection Molding,Husky,HUS-129,2012-10-22,13.7,Medium,418,55,75,1200,1900,3.0,0.0527,Standby
MCH0038,LIN022,FAC008,Grinding Machine,Bosch Rexroth,BOS-333,2015-09-20,10.8,High,91,65,82,1500,2300,3.4,0.0697,Active
MCH0039,LIN009,FAC003,Packaging Line,Krones,KRO-422,2019-05-17,7.1,Medium,150,40,65,700,1300,2.0,0.0345,Standby
MCH0040,LIN003,FAC001,Hydraulic Press,Schuler,SCH-986,2022-05-28,4.1,Low,343,60,78,800,1400,3.2,0.0263,Active
MCH0041,LIN011,FAC004,Industrial Furnace,Thermax,THE-111,2011-04-06,15.2,High,401,350,520,0,0,1.5,0.0818,Active
MCH0042,LIN016,FAC006,CNC Milling,Makino,MAK-982,2014-12-23,11.5,High,157,72,85,1800,2400,2.8,0.0716,Under Maintenance
MCH0043,LIN023,FAC008,Industrial Furnace,Thermax,THE-382,2015-03-20,11.3,High,255,350,520,0,0,1.5,0.0711,Active
MCH0044,LIN012,FAC004,Industrial Furnace,Thermax,THE-661,2020-04-20,6.2,High,495,350,520,0,0,1.5,0.057,Under Maintenance
MCH0045,LIN029,FAC010,Assembly Robot,ABB,ABB-520,2014-03-20,12.3,Medium,158,45,70,1400,2100,2.2,0.0488,Under Maintenance
MCH0046,LIN029,FAC010,CNC Milling,Makino,MAK-955,2017-12-13,8.5,High,347,72,85,1800,2400,2.8,0.0634,Under Maintenance
MCH0047,LIN026,FAC009,CNC Milling,Makino,MAK-406,2024-05-02,2.2,Medium,270,72,85,1800,2400,2.8,0.021,Standby
MCH0048,LIN024,FAC008,Assembly Robot,ABB,ABB-203,2013-02-04,13.4,High,89,45,70,1400,2100,2.2,0.0769,Standby
MCH0049,LIN007,FAC003,Assembly Robot,ABB,ABB-502,2022-11-04,3.7,Low,274,45,70,1400,2100,2.2,0.0252,Standby
MCH0050,LIN017,FAC006,Hydraulic Press,Schuler,SCH-245,2021-05-30,5.1,Low,455,60,78,800,1400,3.2,0.029,Under Maintenance
MCH0051,LIN011,FAC004,Assembly Robot,ABB,ABB-706,2016-12-17,9.5,Low,419,45,70,1400,2100,2.2,0.0411,Active
MCH0052,LIN006,FAC002,Assembly Robot,ABB,ABB-465,2016-08-16,9.9,High,148,45,70,1400,2100,2.2,0.0672,Under Maintenance
MCH0053,LIN007,FAC003,CNC Milling,Makino,MAK-532,2023-08-04,2.9,High,262,72,85,1800,2400,2.8,0.048,Standby
MCH0054,LIN006,FAC002,CNC Milling,Makino,MAK-248,2014-01-11,12.5,Medium,163,72,85,1800,2400,2.8,0.0494,Active
MCH0055,LIN029,FAC010,CNC Lathe,DMG Mori,DMG-821,2021-07-20,4.9,High,409,68,80,1600,2200,2.7,0.0535,Active
MCH0056,LIN027,FAC009,Industrial Furnace,Thermax,THE-321,2011-06-06,15.1,Medium,352,350,520,0,0,1.5,0.0565,Active
MCH0057,LIN020,FAC007,Injection Molding,Husky,HUS-434,2012-11-02,13.7,Low,328,55,75,1200,1900,3.0,0.0527,Active
MCH0058,LIN028,FAC010,CNC Lathe,DMG Mori,DMG-408,2018-07-20,7.9,Medium,411,68,80,1600,2200,2.7,0.0367,Active
MCH0059,LIN012,FAC004,Packaging Line,Krones,KRO-631,2021-03-09,5.3,Medium,206,40,65,700,1300,2.0,0.0296,Active
MCH0060,LIN022,FAC008,Packaging Line,Krones,KRO-170,2023-02-16,3.4,Medium,478,40,65,700,1300,2.0,0.0243,Active
MCH0061,LIN026,FAC009,Packaging Line,Krones,KRO-777,2016-12-31,9.5,Medium,195,40,65,700,1300,2.0,0.0411,Active
MCH0062,LIN011,FAC004,Grinding Machine,Bosch Rexroth,BOS-430,2021-05-10,5.1,High,450,65,82,1500,2300,3.4,0.054,Under Maintenance
MCH0063,LIN013,FAC005,Industrial Furnace,Thermax,THE-574,2013-12-18,12.5,Medium,192,350,520,0,0,1.5,0.0494,Active
MCH0064,LIN025,FAC009,Industrial Furnace,Thermax,THE-704,2019-03-11,7.3,High,275,350,520,0,0,1.5,0.0601,Active
MCH0065,LIN005,FAC002,Packaging Line,Krones,KRO-230,2022-09-16,3.8,High,300,40,65,700,1300,2.0,0.0505,Active
MCH0066,LIN011,FAC004,CNC Lathe,DMG Mori,DMG-987,2017-03-06,9.3,Medium,307,68,80,1600,2200,2.7,0.0406,Active
MCH0067,LIN005,FAC002,Assembly Robot,ABB,ABB-246,2015-04-04,11.2,Medium,367,45,70,1400,2100,2.2,0.0458,Active
MCH0068,LIN009,FAC003,Assembly Robot,ABB,ABB-510,2022-11-19,3.6,Medium,284,45,70,1400,2100,2.2,0.0249,Active
MCH0069,LIN018,FAC006,Industrial Furnace,Thermax,THE-795,2019-03-10,7.3,Medium,472,350,520,0,0,1.5,0.0351,Under Maintenance
MCH0070,LIN030,FAC010,Injection Molding,Husky,HUS-438,2019-07-09,7.0,Medium,110,55,75,1200,1900,3.0,0.0343,Under Maintenance
MCH0071,LIN024,FAC008,Hydraulic Press,Schuler,SCH-818,2010-03-28,16.3,Medium,209,60,78,800,1400,3.2,0.0598,Active
MCH0072,LIN011,FAC004,Grinding Machine,Bosch Rexroth,BOS-594,2020-09-03,5.8,High,253,65,82,1500,2300,3.4,0.0559,Active
MCH0073,LIN002,FAC001,Injection Molding,Husky,HUS-972,2024-04-09,2.2,Medium,217,55,75,1200,1900,3.0,0.021,Active
MCH0074,LIN001,FAC001,Injection Molding,Husky,HUS-737,2020-04-02,6.2,Medium,402,55,75,1200,1900,3.0,0.032,Active
MCH0075,LIN003,FAC001,Injection Molding,Husky,HUS-197,2022-02-02,4.4,High,159,55,75,1200,1900,3.0,0.0521,Active
MCH0076,LIN008,FAC003,Packaging Line,Krones,KRO-274,2014-08-18,11.9,High,441,40,65,700,1300,2.0,0.0727,Active
MCH0077,LIN003,FAC001,Grinding Machine,Bosch Rexroth,BOS-672,2021-09-14,4.8,High,148,65,82,1500,2300,3.4,0.0532,Active
MCH0078,LIN001,FAC001,Assembly Robot,ABB,ABB-663,2019-05-30,7.1,Low,455,45,70,1400,2100,2.2,0.0345,Standby
MCH0079,LIN008,FAC003,Packaging Line,Krones,KRO-451,2024-10-03,1.7,High,257,40,65,700,1300,2.0,0.0447,Active
MCH0080,LIN020,FAC007,Packaging Line,Krones,KRO-434,2015-09-23,10.8,Medium,208,40,65,700,1300,2.0,0.0447,Active
MCH0081,LIN021,FAC007,Packaging Line,Krones,KRO-928,2012-12-27,13.5,Low,267,40,65,700,1300,2.0,0.0521,Active
MCH0082,LIN027,FAC009,Packaging Line,Krones,KRO-624,2014-06-17,12.0,Medium,454,40,65,700,1300,2.0,0.048,Under Maintenance
MCH0083,LIN010,FAC004,Injection Molding,Husky,HUS-520,2023-01-18,3.4,Low,113,55,75,1200,1900,3.0,0.0243,Standby
MCH0084,LIN022,FAC008,Assembly Robot,ABB,ABB-973,2020-10-28,5.7,High,340,45,70,1400,2100,2.2,0.0557,Standby
MCH0085,LIN020,FAC007,Industrial Furnace,Thermax,THE-447,2020-12-21,5.5,Medium,264,350,520,0,0,1.5,0.0301,Active
MCH0086,LIN003,FAC001,Hydraulic Press,Schuler,SCH-992,2015-10-11,10.7,Critical,350,60,78,800,1400,3.2,0.0694,Standby
MCH0087,LIN028,FAC010,Grinding Machine,Bosch Rexroth,BOS-723,2024-02-22,2.4,Low,189,65,82,1500,2300,3.4,0.0216,Active
MCH0088,LIN015,FAC005,Injection Molding,Husky,HUS-976,2014-09-14,11.8,Medium,349,55,75,1200,1900,3.0,0.0475,Active
MCH0089,LIN017,FAC006,Injection Molding,Husky,HUS-833,2016-01-27,10.4,High,330,55,75,1200,1900,3.0,0.0686,Active
MCH0090,LIN018,FAC006,Industrial Furnace,Thermax,THE-501,2018-02-27,8.3,Critical,352,350,520,0,0,1.5,0.0628,Standby
MCH0091,LIN024,FAC008,Injection Molding,Husky,HUS-821,2013-05-30,13.1,High,158,55,75,1200,1900,3.0,0.076,Active
MCH0092,LIN005,FAC002,CNC Milling,Makino,MAK-387,2024-12-14,1.5,High,484,72,85,1800,2400,2.8,0.0441,Active
MCH0093,LIN027,FAC009,Hydraulic Press,Schuler,SCH-653,2013-02-14,13.4,Medium,434,60,78,800,1400,3.2,0.0519,Active
MCH0094,LIN005,FAC002,Packaging Line,Krones,KRO-154,2013-10-10,12.7,Medium,464,40,65,700,1300,2.0,0.0499,Active
MCH0095,LIN022,FAC008,Hydraulic Press,Schuler,SCH-601,2019-04-14,7.2,High,359,60,78,800,1400,3.2,0.0598,Active
MCH0096,LIN010,FAC004,Injection Molding,Husky,HUS-655,2021-07-17,5.0,Medium,127,55,75,1200,1900,3.0,0.0287,Under Maintenance
MCH0097,LIN022,FAC008,Grinding Machine,Bosch Rexroth,BOS-249,2013-06-23,13.0,Critical,445,65,82,1500,2300,3.4,0.0758,Standby
MCH0098,LIN002,FAC001,Packaging Line,Krones,KRO-461,2010-03-03,16.3,Low,380,40,65,700,1300,2.0,0.0598,Active
MCH0099,LIN011,FAC004,CNC Milling,Makino,MAK-989,2013-09-03,12.8,Medium,498,72,85,1800,2400,2.8,0.0502,Active
MCH0100,LIN014,FAC005,Grinding Machine,Bosch Rexroth,BOS-274,2014-06-22,12.0,High,203,65,82,1500,2300,3.4,0.073,Active
MCH0101,LIN022,FAC008,Packaging Line,Krones,KRO-648,2014-10-09,11.7,Medium,296,40,65,700,1300,2.0,0.0472,Under Maintenance
MCH0102,LIN015,FAC005,Industrial Furnace,Thermax,THE-744,2014-09-10,11.8,Critical,458,350,520,0,0,1.5,0.0725,Under Maintenance
MCH0103,LIN030,FAC010,Packaging Line,Krones,KRO-316,2012-01-22,14.4,Critical,458,40,65,700,1300,2.0,0.0796,Active
MCH0104,LIN004,FAC002,CNC Lathe,DMG Mori,DMG-737,2017-12-09,8.6,High,432,68,80,1600,2200,2.7,0.0637,Active
MCH0105,LIN004,FAC002,Hydraulic Press,Schuler,SCH-293,2014-07-26,11.9,High,299,60,78,800,1400,3.2,0.0727,Active
MCH0106,LIN018,FAC006,Hydraulic Press,Schuler,SCH-749,2024-07-15,2.0,Critical,484,60,78,800,1400,3.2,0.0455,Active
MCH0107,LIN010,FAC004,Industrial Furnace,Thermax,THE-633,2018-12-07,7.6,Low,315,350,520,0,0,1.5,0.0359,Active
MCH0108,LIN027,FAC009,Industrial Furnace,Thermax,THE-210,2020-12-13,5.5,Critical,486,350,520,0,0,1.5,0.0551,Active
MCH0109,LIN018,FAC006,Injection Molding,Husky,HUS-723,2018-01-19,8.4,Medium,404,55,75,1200,1900,3.0,0.0381,Standby
MCH0110,LIN002,FAC001,Industrial Furnace,Thermax,THE-180,2015-09-19,10.8,Critical,316,350,520,0,0,1.5,0.0697,Under Maintenance
MCH0111,LIN012,FAC004,CNC Lathe,DMG Mori,DMG-182,2016-03-11,10.3,Medium,382,68,80,1600,2200,2.7,0.0433,Active
MCH0112,LIN003,FAC001,Packaging Line,Krones,KRO-918,2022-08-29,3.8,Low,410,40,65,700,1300,2.0,0.0255,Standby
MCH0113,LIN015,FAC005,Packaging Line,Krones,KRO-426,2022-02-17,4.4,Low,148,40,65,700,1300,2.0,0.0271,Active
MCH0114,LIN004,FAC002,Grinding Machine,Bosch Rexroth,BOS-981,2012-01-23,14.4,Medium,210,65,82,1500,2300,3.4,0.0546,Active
MCH0115,LIN002,FAC001,CNC Lathe,DMG Mori,DMG-850,2023-07-03,3.0,High,251,68,80,1600,2200,2.7,0.0483,Active
MCH0116,LIN010,FAC004,Packaging Line,Krones,KRO-579,2015-06-06,11.1,Medium,433,40,65,700,1300,2.0,0.0455,Active
MCH0117,LIN013,FAC005,Injection Molding,Husky,HUS-420,2021-07-13,5.0,High,294,55,75,1200,1900,3.0,0.0537,Active
MCH0118,LIN016,FAC006,Injection Molding,Husky,HUS-293,2023-05-12,3.1,Medium,473,55,75,1200,1900,3.0,0.0235,Active
MCH0119,LIN019,FAC007,Packaging Line,Krones,KRO-642,2023-03-31,3.2,Medium,88,40,65,700,1300,2.0,0.0238,Under Maintenance
MCH0120,LIN007,FAC003,Grinding Machine,Bosch Rexroth,BOS-903,2010-10-06,15.7,High,151,65,82,1500,2300,3.4,0.0832,Active
MCH0121,LIN008,FAC003,Industrial Furnace,Thermax,THE-984,2015-12-30,10.5,High,456,350,520,0,0,1.5,0.0689,Standby
MCH0122,LIN001,FAC001,Industrial Furnace,Thermax,THE-270,2023-07-05,3.0,High,351,350,520,0,0,1.5,0.0483,Active
MCH0123,LIN019,FAC007,Industrial Furnace,Thermax,THE-667,2014-11-12,11.6,High,167,350,520,0,0,1.5,0.0719,Under Maintenance
MCH0124,LIN013,FAC005,CNC Lathe,DMG Mori,DMG-525,2012-05-15,14.1,High,285,68,80,1600,2200,2.7,0.0788,Active
MCH0125,LIN008,FAC003,Injection Molding,Husky,HUS-919,2011-02-23,15.3,Medium,166,55,75,1200,1900,3.0,0.0571,Standby
MCH0126,LIN009,FAC003,Industrial Furnace,Thermax,THE-137,2011-11-24,14.6,Medium,191,350,520,0,0,1.5,0.0551,Standby
MCH0127,LIN004,FAC002,Packaging Line,Krones,KRO-464,2022-05-01,4.2,High,435,40,65,700,1300,2.0,0.0515,Under Maintenance
MCH0128,LIN027,FAC009,CNC Milling,Makino,MAK-593,2014-04-06,12.2,High,104,72,85,1800,2400,2.8,0.0736,Active
MCH0129,LIN003,FAC001,Hydraulic Press,Schuler,SCH-309,2024-08-15,1.9,Low,83,60,78,800,1400,3.2,0.0202,Active
MCH0130,LIN020,FAC007,CNC Milling,Makino,MAK-173,2020-07-28,5.9,Critical,438,72,85,1800,2400,2.8,0.0562,Standby
MCH0131,LIN006,FAC002,Injection Molding,Husky,HUS-654,2021-02-09,5.4,High,260,55,75,1200,1900,3.0,0.0549,Active
MCH0132,LIN018,FAC006,Grinding Machine,Bosch Rexroth,BOS-132,2020-05-29,6.1,Low,87,65,82,1500,2300,3.4,0.0318,Under Maintenance
MCH0133,LIN013,FAC005,CNC Lathe,DMG Mori,DMG-282,2019-11-23,6.6,High,167,68,80,1600,2200,2.7,0.0582,Active
MCH0134,LIN006,FAC002,Injection Molding,Husky,HUS-509,2021-04-28,5.2,High,222,55,75,1200,1900,3.0,0.0543,Active
MCH0135,LIN015,FAC005,CNC Lathe,DMG Mori,DMG-865,2010-06-05,16.1,Medium,465,68,80,1600,2200,2.7,0.0593,Active
MCH0136,LIN019,FAC007,Injection Molding,Husky,HUS-252,2020-08-21,5.9,Critical,431,55,75,1200,1900,3.0,0.0562,Active
MCH0137,LIN006,FAC002,Packaging Line,Krones,KRO-101,2022-05-04,4.2,Low,496,40,65,700,1300,2.0,0.0266,Under Maintenance
MCH0138,LIN003,FAC001,Packaging Line,Krones,KRO-680,2024-02-11,2.4,Medium,253,40,65,700,1300,2.0,0.0216,Standby
MCH0139,LIN012,FAC004,CNC Lathe,DMG Mori,DMG-358,2023-04-06,3.2,Low,201,68,80,1600,2200,2.7,0.0238,Active
MCH0140,LIN013,FAC005,Injection Molding,Husky,HUS-690,2016-10-24,9.7,High,428,55,75,1200,1900,3.0,0.0667,Standby
MCH0141,LIN006,FAC002,Assembly Robot,ABB,ABB-129,2021-12-01,4.6,Low,255,45,70,1400,2100,2.2,0.0277,Active
MCH0142,LIN023,FAC008,Packaging Line,Krones,KRO-780,2023-03-26,3.3,Low,321,40,65,700,1300,2.0,0.0241,Active
MCH0143,LIN020,FAC007,Packaging Line,Krones,KRO-104,2012-07-15,14.0,Low,393,40,65,700,1300,2.0,0.0535,Standby
MCH0144,LIN010,FAC004,Hydraulic Press,Schuler,SCH-120,2019-02-22,7.4,Critical,307,60,78,800,1400,3.2,0.0604,Standby
MCH0145,LIN010,FAC004,Hydraulic Press,Schuler,SCH-105,2018-07-20,7.9,High,307,60,78,800,1400,3.2,0.0617,Standby
MCH0146,LIN004,FAC002,CNC Lathe,DMG Mori,DMG-554,2015-02-07,11.4,High,494,68,80,1600,2200,2.7,0.0713,Active
MCH0147,LIN028,FAC010,Grinding Machine,Bosch Rexroth,BOS-554,2016-02-21,10.4,Medium,452,65,82,1500,2300,3.4,0.0436,Active
MCH0148,LIN009,FAC003,Packaging Line,Krones,KRO-403,2023-12-14,2.5,Medium,240,40,65,700,1300,2.0,0.0219,Active
MCH0149,LIN004,FAC002,CNC Milling,Makino,MAK-815,2014-08-03,11.9,Medium,230,72,85,1800,2400,2.8,0.0477,Under Maintenance
MCH0150,LIN008,FAC003,Industrial Furnace,Thermax,THE-335,2013-09-20,12.8,High,277,350,520,0,0,1.5,0.0752,Active
MCH0151,LIN020,FAC007,Industrial Furnace,Thermax,THE-312,2024-06-16,2.0,High,395,350,520,0,0,1.5,0.0455,Standby
MCH0152,LIN010,FAC004,Grinding Machine,Bosch Rexroth,BOS-563,2015-11-30,10.6,Medium,204,65,82,1500,2300,3.4,0.0442,Active
MCH0153,LIN017,FAC006,Assembly Robot,ABB,ABB-944,2010-11-03,15.7,High,180,45,70,1400,2100,2.2,0.0832,Active
MCH0154,LIN006,FAC002,Grinding Machine,Bosch Rexroth,BOS-484,2023-01-08,3.5,Medium,405,65,82,1500,2300,3.4,0.0246,Under Maintenance
MCH0155,LIN022,FAC008,CNC Milling,Makino,MAK-137,2023-09-22,2.8,Medium,489,72,85,1800,2400,2.8,0.0227,Standby
MCH0156,LIN017,FAC006,Industrial Furnace,Thermax,THE-523,2022-08-08,3.9,Medium,195,350,520,0,0,1.5,0.0257,Standby
MCH0157,LIN029,FAC010,Assembly Robot,ABB,ABB-729,2024-11-29,1.6,High,339,45,70,1400,2100,2.2,0.0444,Active
MCH0158,LIN027,FAC009,Industrial Furnace,Thermax,THE-113,2018-09-27,7.8,High,295,350,520,0,0,1.5,0.0614,Standby
MCH0159,LIN014,FAC005,Grinding Machine,Bosch Rexroth,BOS-472,2023-12-21,2.5,Critical,489,65,82,1500,2300,3.4,0.0469,Active
MCH0160,LIN018,FAC006,Grinding Machine,Bosch Rexroth,BOS-985,2017-12-28,8.5,High,94,65,82,1500,2300,3.4,0.0634,Active
MCH0161,LIN008,FAC003,Injection Molding,Husky,HUS-503,2013-12-03,12.6,Medium,322,55,75,1200,1900,3.0,0.0496,Active
MCH0162,LIN014,FAC005,Injection Molding,Husky,HUS-186,2018-05-22,8.1,Low,131,55,75,1200,1900,3.0,0.0373,Active
MCH0163,LIN007,FAC003,Grinding Machine,Bosch Rexroth,BOS-455,2012-10-05,13.7,Medium,405,65,82,1500,2300,3.4,0.0527,Standby
MCH0164,LIN029,FAC010,CNC Lathe,DMG Mori,DMG-418,2019-05-04,7.2,Medium,81,68,80,1600,2200,2.7,0.0348,Active
MCH0165,LIN029,FAC010,CNC Lathe,DMG Mori,DMG-571,2017-08-31,8.8,High,401,68,80,1600,2200,2.7,0.0642,Under Maintenance
MCH0166,LIN004,FAC002,CNC Lathe,DMG Mori,DMG-667,2014-04-12,12.2,Critical,328,68,80,1600,2200,2.7,0.0736,Active
MCH0167,LIN020,FAC007,Hydraulic Press,Schuler,SCH-342,2012-10-17,13.7,Low,156,60,78,800,1400,3.2,0.0527,Under Maintenance
MCH0168,LIN015,FAC005,CNC Lathe,DMG Mori,DMG-533,2022-05-09,4.1,High,465,68,80,1600,2200,2.7,0.0513,Active
MCH0169,LIN003,FAC001,CNC Milling,Makino,MAK-164,2020-05-27,6.1,Medium,306,72,85,1800,2400,2.8,0.0318,Under Maintenance
MCH0170,LIN002,FAC001,Packaging Line,Krones,KRO-200,2020-08-31,5.8,Medium,104,40,65,700,1300,2.0,0.0309,Under Maintenance
MCH0171,LIN006,FAC002,Grinding Machine,Bosch Rexroth,BOS-829,2024-05-12,2.1,Low,359,65,82,1500,2300,3.4,0.0208,Standby
MCH0172,LIN008,FAC003,Grinding Machine,Bosch Rexroth,BOS-272,2012-06-11,14.1,Medium,85,65,82,1500,2300,3.4,0.0538,Active
MCH0173,LIN020,FAC007,Assembly Robot,ABB,ABB-545,2015-10-16,10.7,High,482,45,70,1400,2100,2.2,0.0694,Active
MCH0174,LIN023,FAC008,Injection Molding,Husky,HUS-177,2018-03-09,8.3,Critical,290,55,75,1200,1900,3.0,0.0628,Active
MCH0175,LIN019,FAC007,Assembly Robot,ABB,ABB-729,2017-02-27,9.3,Medium,376,45,70,1400,2100,2.2,0.0406,Active
MCH0176,LIN008,FAC003,Hydraulic Press,Schuler,SCH-134,2021-10-31,4.7,Medium,364,60,78,800,1400,3.2,0.0279,Standby
MCH0177,LIN009,FAC003,Packaging Line,Krones,KRO-972,2016-07-04,10.0,Medium,213,40,65,700,1300,2.0,0.0425,Active
MCH0178,LIN023,FAC008,Packaging Line,Krones,KRO-629,2013-08-28,12.8,Medium,238,40,65,700,1300,2.0,0.0502,Active
MCH0179,LIN010,FAC004,CNC Lathe,DMG Mori,DMG-302,2023-08-08,2.9,Medium,387,68,80,1600,2200,2.7,0.023,Standby
MCH0180,LIN011,FAC004,Industrial Furnace,Thermax,THE-444,2024-04-22,2.2,Medium,287,350,520,0,0,1.5,0.021,Under Maintenance
MCH0181,LIN020,FAC007,Packaging Line,Krones,KRO-209,2023-08-27,2.8,Medium,270,40,65,700,1300,2.0,0.0227,Under Maintenance
MCH0182,LIN025,FAC009,Packaging Line,Krones,KRO-486,2023-02-09,3.4,Medium,263,40,65,700,1300,2.0,0.0243,Active
MCH0183,LIN025,FAC009,Industrial Furnace,Thermax,THE-911,2018-08-31,7.8,High,208,350,520,0,0,1.5,0.0614,Under Maintenance
MCH0184,LIN001,FAC001,Industrial Furnace,Thermax,THE-717,2019-04-10,7.2,Medium,91,350,520,0,0,1.5,0.0348,Active
MCH0185,LIN018,FAC006,CNC Milling,Makino,MAK-542,2012-08-09,13.9,High,213,72,85,1800,2400,2.8,0.0782,Under Maintenance
MCH0186,LIN010,FAC004,Assembly Robot,ABB,ABB-159,2010-01-19,16.4,Medium,119,45,70,1400,2100,2.2,0.0601,Active
MCH0187,LIN006,FAC002,CNC Milling,Makino,MAK-733,2018-03-27,8.3,Critical,356,72,85,1800,2400,2.8,0.0628,Under Maintenance
